date,genotype,strain,treatment_det,treatment,feed_state,assay,group,plate,RowA,RowB,CD_left,CD_middle,CD_right,RowE,RowF,User,Note
5_24_16,N2,JUb39,JU_5xJUp_JUCM,JUCM,fed,oct,G2,,2,2,0,0,1,2,42,PHC,2hr
5_24_16,N2,JUb39,JU_5xJUp_JUCM,JUCM,fed,oct,G2,,7,1,0,2,0,3,71,PHC,2hr
5_24_16,N2,JUb39,JU_JUCM,JUCM,starved,oct,H1,,39,5,3,1,4,106,69,PHC,2hr
5_24_16,N2,JUb39,JU_JUCM,JUCM,starved,oct,H2,,23,9,2,2,0,4,59,PHC,2hr
5_24_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A3,,0,0,1,1,0,2,92,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A4,,0,0,1,1,0,2,92,MOD,2hr
5_24_16,N2,OP50,OP_NGM,NGM,starved,oct,B3,,4,1,0,1,0,32,93,MOD,2hr
5_24_16,N2,OP50,OP_NGM,NGM,starved,oct,B4,,5,1,0,0,0,10,81,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_NGM,none,fed,nona,A3,,0,0,1,6,2,28,98,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_NGM,none,fed,nona,A4,,0,0,1,31,1,11,152,MOD,2hr
5_24_16,N2,OP50,OP_NGM,NGM,starved,nona,B3,,0,0,2,35,1,64,75,MOD,2hr
5_24_16,N2,OP50,OP_NGM,NGM,starved,nona,B4,,0,0,0,6,1,22,204,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C7,,0,1,2,0,2,56,59,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C7,,0,0,1,1,0,9,69,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C8,,0,0,1,6,1,47,80,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C8,,0,1,1,1,1,21,75,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D7,,2,2,1,1,1,61,80,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D7,,7,8,2,5,3,97,86,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D8,,3,2,2,21,0,70,45,MOD,2hr
5_24_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D8,,2,0,0,3,0,28,47,MOD,2hr
5_24_16,N2,OP50,OP_JUCM,JUCM,starved,oct,E11,,3,1,1,1,0,40,65,MOD,2hr
5_24_16,N2,OP50,OP_JUCM,JUCM,starved,oct,E11,,2,2,1,0,1,45,58,MOD,2hr
5_24_16,N2,OP50,OP_JUCM,JUCM,starved,oct,E12,,0,0,0,1,0,14,21,MOD,2hr
5_24_16,N2,OP50,OP_JUCM,JUCM,starved,oct,E12,,0,0,0,5,1,18,24,MOD,2hr
5_24_16,N2,OP50,OP_OPCM,OPCM,starved,oct,F11,,11,9,0,1,0,65,84,MOD,2hr
5_24_16,N2,OP50,OP_OPCM,OPCM,starved,oct,F11,,8,4,2,3,0,91,86,MOD,2hr
5_24_16,N2,OP50,OP_OPCM,OPCM,starved,oct,F12,,2,3,2,3,1,45,51,MOD,2hr
5_24_16,N2,OP50,OP_OPCM,OPCM,starved,oct,F12,,1,1,0,1,0,24,60,MOD,2hr
5_24_16,N2,JUb39,JU_5xJUp_JUCM,JUCM,fed,oct,G3,,1,0,0,0,1,3,94,MOD,2hr
5_24_16,N2,JUb39,JU_5xJUp_JUCM,JUCM,fed,oct,G3,,4,0,1,1,0,6,98,MOD,2hr
5_24_16,N2,JUb39,JU_5xJUp_JUCM,JUCM,fed,oct,G4,,3,3,1,1,0,10,107,MOD,2hr
5_24_16,N2,JUb39,JU_JUCM,JUCM,starved,oct,H3,,12,3,0,1,2,62,42,MOD,2hr
5_24_16,N2,JUb39,JU_JUCM,JUCM,starved,oct,H3,,6,1,0,7,1,57,58,MOD,2hr
5_24_16,N2,JUb39,JU_JUCM,JUCM,starved,oct,H4,,52,5,1,2,1,45,58,MOD,2hr
5_26_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A1,,0,0,1,0,0,15,57,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A1,,0,0,0,1,0,26,35,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_NGM,none,fed,oct,A1,,0,1,1,0,2,5,25,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_NGM,none,fed,oct,A1,,3,3,1,6,2,28,96,MOD,2hr
5_26_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A2,,0,0,2,0,2,32,64,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A2,,0,0,0,1,0,3,40,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_NGM,none,fed,oct,A2,,2,0,0,2,1,15,37,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_NGM,none,fed,oct,A2,,1,2,2,4,0,8,90,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_NGM,none,fed,oct,A3,,10,3,3,1,6,41,54,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_NGM,none,fed,oct,A3,,3,1,0,1,1,11,65,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A3,,0,0,3,0,1,9,76,MOD,2hr
5_26_16,N2,OP50,OP_5xOPp_NGM,none,fed,oct,A3,,0,0,2,1,0,10,67,MOD,2hr
5_26_16,N2,OP50,OP_NGM,NGM,starved,oct,B1,,0,0,0,0,2,13,39,PHC,2hr
5_26_16,N2,OP50,OP_NGM,NGM,starved,oct,B1,,1,0,1,2,1,13,57,PHC,2hr
5_26_16,N2,JUb39,JU_NGM,NGM,starved,oct,B1,,2,4,2,2,0,4,191,MOD,2hr
5_26_16,N2,JUb39,JU_NGM,NGM,starved,oct,B1,,5,4,1,3,2,5,79,MOD,2hr
5_26_16,N2,OP50,OP_NGM,NGM,starved,oct,B2,,0,1,0,0,0,6,39,PHC,2hr
5_26_16,N2,OP50,OP_NGM,NGM,starved,oct,B2,,0,0,1,1,0,12,76,PHC,2hr
5_26_16,N2,JUb39,JU_NGM,NGM,starved,oct,B2,,3,2,1,0,0,3,20,MOD,2hr
5_26_16,N2,JUb39,JU_NGM,NGM,starved,oct,B2,,2,6,0,1,1,11,40,MOD,2hr
5_26_16,N2,JUb39,JU_NGM,NGM,starved,oct,B3,,2,2,0,1,2,6,93,PHC,2hr
5_26_16,N2,JUb39,JU_NGM,NGM,starved,oct,B3,,2,2,0,2,3,6,103,PHC,2hr
5_26_16,N2,OP50,OP_NGM,NGM,starved,oct,B3,,0,4,1,3,1,12,85,MOD,2hr
5_26_16,N2,OP50,OP_NGM,NGM,starved,oct,B3,,4,3,0,0,1,11,112,MOD,2hr
5_26_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C4,,0,3,0,0,1,26,195,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C4,,0,2,0,0,0,5,77,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_JUCM,JUCM,fed,oct,C4,,6,5,0,3,1,6,89,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_JUCM,JUCM,fed,oct,C4,,0,3,0,0,2,9,55,MOD,2hr
5_26_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C5,,0,0,0,0,1,13,76,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C5,,0,0,0,0,0,10,47,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_JUCM,JUCM,fed,oct,C5,,8,3,0,1,2,23,108,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_JUCM,JUCM,fed,oct,C5,,2,2,0,1,1,4,55,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_JUCM,JUCM,fed,oct,C6,,2,1,0,1,6,14,35,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_JUCM,JUCM,fed,oct,C6,,9,3,0,1,3,16,81,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_JUCM,JUCM,fed,oct,C6,,0,2,1,2,1,47,179,MOD,2hr
5_26_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D4,,2,0,0,2,1,15,99,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D4,,0,0,0,0,0,7,26,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_OPCM,OPCM,fed,oct,D4,,7,2,0,1,0,16,77,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_OPCM,OPCM,fed,oct,D4,,2,3,1,2,0,33,66,MOD,2hr
5_26_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D5,,1,0,0,1,2,35,46,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D5,,2,1,2,2,4,45,128,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_OPCM,OPCM,fed,oct,D5,,6,5,2,2,1,2,127,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_OPCM,OPCM,fed,oct,D5,,2,11,0,2,0,32,133,MOD,2hr
5_26_16,N2,JUb39,JU_5xOPp_OPCM,OPCM,fed,oct,D6,,2,7,0,0,0,8,41,PHC,2hr
5_26_16,N2,JUb39,JU_5xOPp_OPCM,OPCM,fed,oct,D6,,2,6,2,2,3,33,128,PHC,2hr
5_26_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D6,,3,3,2,3,1,32,112,MOD,2hr
5_26_16,N2,OP50,OP_5xOPp_OPCM,OPCM,fed,oct,D6,,4,3,0,0,1,7,28,MOD,2hr
