date,genotype,strain,strain-sum,treatment,assay,group,A,B,CD(Left),CD(middle),CD(right),E,F(ETOH),User,note
1_26_16,N2,,JU to OP,,hex,,57,13,3,11,4,22,33,MOD,
1_26_16,N2,,JU to OP,,hex,,108,11,1,4,4,19,91,MOD,
1_26_16,N2,,JU to OP,,hex,,72,14,0,4,2,15,19,MOD,
1_26_16,N2,,JU(G) to OP,,hex,,77,39,2,14,10,13,26,MOD,
1_26_16,N2,,JU(G) to OP,,hex,,45,35,2,12,10,18,26,MOD,
1_26_16,N2,,JU(G) to OP,,hex,,41,16,6,9,4,46,37,MOD,
1_26_16,N2,,OP to JU,,hex,,30,5,3,7,4,21,15,MOD,
1_26_16,N2,,OP to JU,,hex,,26,3,4,4,2,9,15,MOD,
1_26_16,N2,,OP to JU,,hex,,11,4,0,3,1,3,13,MOD,
1_26_16,N2,,OP(G) to JU,,hex,,27,9,6,15,3,20,5,MOD,
1_26_16,N2,,OP(G) to JU,,hex,,16,4,1,5,3,16,3,MOD,
1_26_16,N2,,OP(G) to JU,,hex,,23,7,2,4,4,11,9,MOD,
4_15_16,N2,,OP (MOCK),,oct,,10,2,1,4,2,28,230,PHC,
4_15_16,N2,,OP (MOCK),,oct,,2,0,0,4,1,6,52,PHC,
4_15_16,N2,,OP (MOCK),,hex,,8,1,4,1,3,5,25,PHC,
4_15_16,N2,,JUb39,,oct,,18,4,1,2,3,8,119,PHC,
4_15_16,N2,,JUb39,,oct,,21,2,0,4,1,1,78,PHC,
4_15_16,N2,,JUb39,,hex,,61,14,10,20,8,9,93,PHC,
4_15_16,N2,,JUb39,,hex,,82,11,8,7,3,16,84,MOD,
4_15_16,N2,,JUb39,,hex,,46,14,5,3,2,11,44,MOD,
4_15_16,N2,,JUb39,,oct,,10,3,1,6,0,3,167,MOD,
4_15_16,N2,,OP(gentomycin under),,oct,,2,2,0,2,2,9,94,PHC,
4_15_16,N2,,OP(gentomycin under),,oct,,4,2,0,3,1,19,161,PHC,
4_15_16,N2,,OP(gentomycin under),,hex,,7,6,14,15,5,18,49,PHC,
4_15_16,N2,,OP(gentomycin under),,hex,,0,3,3,6,4,17,20,MOD,
4_15_16,N2,,OP(gentomycin under),,hex,,11,4,3,6,0,21,46,MOD,
4_15_16,N2,,OP(gentomycin under),,oct,,1,0,0,5,0,15,180,MOD,
4_15_16,N2,,JU(gentomycin under),,oct,,8,3,3,6,3,11,175,PHC,
4_15_16,N2,,JU(gentomycin under),,oct,,10,3,2,9,2,22,106,PHC,
4_15_16,N2,,JU(gentomycin under),,hex,,28,10,5,8,1,12,39,PHC,
4_15_16,N2,,JU(gentomycin under),,hex,,73,9,5,20,4,8,22,MOD,
4_15_16,N2,,JU(gentomycin under),,hex,,56,14,7,0,14,9,24,MOD,
4_15_16,N2,,JU(gentomycin under),,oct,,6,1,1,3,2,4,83,MOD,
4_15_16,N2,,OP50,,oct,,1,1,2,2,3,25,118,PHC,
4_15_16,N2,,OP50,,oct,,0,0,0,4,0,11,33,PHC,
4_15_16,N2,,OP50,,hex,,3,0,3,6,3,8,24,PHC,
4_15_16,N2,,OP50,,hex,,19,5,12,7,4,57,91,MOD,
4_15_16,N2,,OP50,,hex,,12,1,3,2,0,28,40,MOD,
4_15_16,N2,,OP50,,oct,,0,1,0,6,0,34,92,MOD,
4_15_16,N2,,JU (MOCK),,oct,,2,1,3,5,0,5,77,PHC,
4_15_16,N2,,JU (MOCK),,oct,,20,2,0,4,0,20,150,PHC,
4_15_16,N2,,JU (MOCK),,hex,,116,20,4,15,22,21,118,PHC,
4_15_16,N2,,JU (MOCK),,hex,,37,4,3,3,4,8,76,MOD,
4_15_16,N2,,JU (MOCK),,hex,,33,7,3,6,6,10,84,MOD,
4_15_16,N2,,JU (MOCK),,oct,,5,0,0,3,1,15,182,MOD,
4_18_16,N2,,OP50,,oct,,0,0,3,2,3,19,173,PHC,
4_18_16,N2,,OP50,,oct,,0,2,0,0,1,22,138,PHC,
4_18_16,N2,,OP50,,hex,,8,4,9,4,7,17,39,PHC,
4_18_16,N2,,JU(gentomycin under),,oct,,4,0,0,3,0,5,50,PHC,
4_18_16,N2,,JU(gentomycin under),,oct,,0,0,0,1,0,5,95,PHC,
4_18_16,N2,,JU(gentomycin under),,hex,,43,7,7,0,4,8,31,PHC,
4_18_16,N2,,OP (MOCK),,oct,,2,3,7,3,7,19,177,PHC,
4_18_16,N2,,OP (MOCK),,oct,,1,2,4,3,6,61,145,PHC,
4_18_16,N2,,OP (MOCK),,hex,,11,2,7,3,3,8,45,PHC,
4_18_16,N2,,OP(gentomycin under),,oct,,0,0,0,2,2,61,111,PHC,
4_18_16,N2,,OP(gentomycin under),,oct,,1,0,1,2,4,19,266,PHC,
4_18_16,N2,,OP(gentomycin under),,hex,,30,7,6,2,3,23,56,PHC,
4_18_16,N2,,JU (MOCK),,oct,,6,4,0,3,1,29,174,PHC,
4_18_16,N2,,JU (MOCK),,oct,,1,1,1,3,2,8,112,PHC,
4_18_16,N2,,JU (MOCK),,hex,,26,2,3,1,1,4,9,PHC,
4_18_16,N2,,JUb39,,oct,,12,2,3,2,7,24,216,PHC,
4_18_16,N2,,JUb39,,oct,,4,2,2,2,3,29,143,PHC,
4_18_16,N2,,JUb39,,oct,,1,0,1,3,2,12,31,PHC,
4_18_16,N2,,JU (MOCK),,hex,,68,19,9,3,8,8,64,MOD,
4_18_16,N2,,JU (MOCK),,hex,,43,15,4,9,6,20,47,MOD,
4_18_16,N2,,JU (MOCK),,oct,,6,1,0,5,2,10,223,MOD,
4_18_16,N2,,JU(gentomycin under),,hex,,99,3,3,8,3,6,43,MOD,
4_18_16,N2,,JU(gentomycin under),,hex,,44,3,0,3,0,8,26,MOD,
4_18_16,N2,,JU(gentomycin under),,oct,,7,0,0,5,0,7,180,MOD,
4_18_16,N2,,OP(gentomycin under),,hex,,2,0,0,0,1,5,6,MOD,
4_18_16,N2,,OP(gentomycin under),,hex,,1,0,4,2,0,8,16,MOD,
4_18_16,N2,,OP(gentomycin under),,oct,,0,0,2,2,0,22,50,MOD,
4_18_16,N2,,OP (MOCK),,hex,,21,6,19,34,22,91,94,MOD,
4_18_16,N2,,OP (MOCK),,hex,,15,6,4,7,5,23,52,MOD,
4_18_16,N2,,OP (MOCK),,oct,,2,0,4,4,1,103,104,MOD,
4_18_16,N2,,JUb39,,hex,,118,4,5,40,3,14,28,MOD,
4_18_16,N2,,JUb39,,hex,,65,9,5,12,2,11,39,MOD,
4_18_16,N2,,JUb39,,oct,,6,0,7,10,5,57,255,MOD,
4_18_16,N2,,OP50,,hex,,33,2,9,8,4,28,81,MOD,
4_18_16,N2,,OP50,,hex,,47,12,13,22,13,26,45,MOD,
4_18_16,N2,,OP50,,oct,,0,0,9,2,2,61,283,MOD,
4_29_16,N2,,OP50,,oct_1:10,A,1,0,1,1,1,2,71,PHC,
4_29_16,N2,,OP50,,oct_1:100,A,47,12,3,2,4,16,131,PHC,
4_29_16,N2,,OP50,,oct_1:1000,A,13,11,5,1,5,36,97,PHC,
4_29_16,N2,,JUb39,,oct_1:10,B,4,8,2,1,4,20,188,PHC,
4_29_16,N2,,JUb39,,oct_1:100,B,3,2,2,1,2,19,47,PHC,
4_29_16,N2,,JUb39,,oct_1:1000,B,6,2,1,1,2,8,63,PHC,
4_29_16,N2,,JUb39,,oct,C,7,1,1,1,2,9,124,PHC,
4_29_16,N2,,JUb39,,oct_1:10,C,2,0,0,0,1,4,81,PHC,
4_29_16,N2,,JUb39,,oct_1:100,C,16,2,0,1,1,0,111,PHC,
4_29_16,N2,,JUb39,,oct_1:1000,C,11,7,0,1,1,2,57,PHC,
4_29_16,N2,,OP50,,oct,D,1,0,2,3,0,8,54,PHC,
4_29_16,N2,,OP50,,oct_1:10,D,2,0,0,0,1,15,106,PHC,
4_29_16,N2,,OP50,,oct_1:100,D,0,3,1,1,2,2,51,PHC,
4_29_16,N2,,OP50,,oct_1:1000,D,15,26,1,1,2,18,88,PHC,
4_29_16,N2,,JUb39,,oct,E,14,3,1,2,2,11,117,MOD,
4_29_16,N2,,JUb39,,oct_1:10,E,14,2,1,2,1,1,103,MOD,
4_29_16,N2,,JUb39,,oct_1:100,E,19,2,1,0,0,3,73,MOD,
4_29_16,N2,,JUb39,,oct_1:1000,E,40,2,0,1,0,2,39,MOD,
4_29_16,N2,,JUb39,,oct,F,36,6,1,3,3,7,138,MOD,
4_29_16,N2,,JUb39,,oct_1:10,F,31,7,1,2,1,8,143,MOD,
4_29_16,N2,,JUb39,,oct_1:100,F,54,3,1,3,1,15,160,MOD,
4_29_16,N2,,JUb39,,oct_1:1000,F,125,8,1,3,1,31,103,MOD,
4_29_16,N2,,OP50,,oct,G,2,3,2,1,2,8,62,MOD,
4_29_16,N2,,OP50,,oct_1:10,G,3,2,2,2,2,10,84,MOD,
4_29_16,N2,,OP50,,oct_1:100,G,40,14,1,7,3,4,61,MOD,
4_29_16,N2,,OP50,,oct_1:1000,G,44,12,3,2,1,1,19,MOD,
4_29_16,N2,,OP50,,oct,H,3,2,1,3,2,26,119,MOD,
4_29_16,N2,,OP50,,oct_1:10,H,2,0,1,0,0,9,53,MOD,
4_29_16,N2,,OP50,,oct_1:100,H,18,3,1,6,2,10,78,MOD,
4_29_16,N2,,OP50,,oct_1:1000,H,37,19,0,1,1,1,25,MOD,
4_30_16,N2,,OP50,,oct,,2,1,3,4,2,35,127,PHC,
4_30_16,N2,,OP50,,oct,,6,0,4,4,2,37,126,PHC,
4_30_16,N2,,OP50,,oct,,5,8,2,1,3,27,116,PHC,
4_30_16,N2,,OP+JU,,oct,,4,10,2,4,4,17,99,PHC,
4_30_16,N2,,OP+JU,,oct,,9,2,1,2,0,21,93,PHC,
4_30_16,N2,,OP+JU,,oct,,1,0,1,2,1,29,94,PHC,
4_30_16,N2,,JU+membrance+ JU(Live),,oct,,1,0,2,2,3,11,38,PHC,
4_30_16,N2,,JU+membrance+ OP(Live),,oct,,0,0,2,1,2,9,10,PHC,
5_9_16,N2,,OP50,,oct,A,1,0,1,0,0,12,60,PHC,
5_9_16,N2,,JUb39,,oct,B,3,3,4,4,2,14,97,PHC,
5_9_16,N2,,OP50,,oct,C,1,0,5,1,4,37,123,PHC,
5_9_16,N2,,JUb39,,oct,D,7,2,1,2,0,8,112,PHC,
5_9_16,N2,,OP50,,oct,E,0,0,0,1,0,9,106,PHC,
5_9_16,N2,,OP50,,oct_1:5,A,0,3,2,2,0,46,31,PHC,
5_9_16,N2,,JUb39,,oct_1:5,B,3,5,2,1,1,18,85,PHC,
5_9_16,N2,,OP50,,oct_1:5,C,0,0,1,1,1,29,28,PHC,
5_9_16,N2,,JUb39,,oct_1:5,D,2,4,1,2,2,0,48,PHC,
5_9_16,N2,,OP50,,oct_1:5,E,1,0,1,1,1,37,45,PHC,
5_9_16,N2,,OP50,,oct_1:10,A,2,0,0,1,0,7,31,PHC,
5_9_16,N2,,JUb39,,oct_1:10,B,1,0,1,3,2,9,44,PHC,
5_9_16,N2,,OP50,,oct_1:10,C,0,0,1,0,0,2,9,PHC,
5_9_16,N2,,JUb39,,oct_1:10,D,0,0,0,1,0,9,36,PHC,
5_9_16,N2,,OP50,,oct_1:10,E,0,1,2,0,0,13,55,PHC,
5_9_16,N2,,OP50,,oct_1:50,A,3,4,2,3,0,24,49,PHC,
5_9_16,N2,,JUb39,,oct_1:50,B,8,6,2,0,3,23,85,PHC,
5_9_16,N2,,OP50,,oct_1:50,C,0,0,0,0,0,0,8,PHC,
5_9_16,N2,,JUb39,,oct_1:50,D,7,10,5,3,3,43,117,PHC,
5_9_16,N2,,OP50,,oct_1:50,E,0,3,0,1,2,2,21,PHC,
5_9_16,N2,,OP50,,oct,A,0,0,0,1,0,4,21,MOD,op-1
5_9_16,N2,,JUb39,,oct,B,8,3,1,4,1,5,52,MOD,ju-1
5_9_16,N2,,OP50,,oct,C,0,0,1,6,1,8,52,MOD,op-2
5_9_16,N2,,JUb39,,oct,D,14,2,1,10,0,10,73,MOD,ju-2
5_9_16,N2,,JUb39,,oct,E,16,3,4,30,1,18,85,MOD,ju-3
5_9_16,N2,,OP50,,oct_1:5,A,2,0,0,1,0,1,44,MOD,op-1
5_9_16,N2,,JUb39,,oct_1:5,B,6,1,2,4,4,18,104,MOD,ju-1
5_9_16,N2,,OP50,,oct_1:5,C,2,0,1,3,2,7,91,MOD,op-2
5_9_16,N2,,JUb39,,oct_1:5,D,5,0,0,3,2,4,93,MOD,ju-2
5_9_16,N2,,JUb39,,oct_1:5,E,9,1,0,1,0,5,80,MOD,ju-3
5_9_16,N2,,OP50,,oct_1:10,A,0,1,1,2,3,22,146,MOD,op-1
5_9_16,N2,,JUb39,,oct_1:10,B,1,1,1,9,3,16,131,MOD,ju-1
5_9_16,N2,,OP50,,oct_1:10,C,0,0,3,3,1,7,130,MOD,op-2
5_9_16,N2,,JUb39,,oct_1:10,D,6,1,1,4,1,2,87,MOD,ju-2
5_9_16,N2,,JUb39,,oct_1:10,E,2,1,3,0,3,5,122,MOD,ju-3
5_9_16,N2,,OP50,,oct_1:50,A,11,2,1,4,4,34,56,MOD,op-1
5_9_16,N2,,JUb39,,oct_1:50,B,8,12,3,4,1,7,109,MOD,ju-1
5_9_16,N2,,OP50,,oct_1:50,C,2,0,0,2,2,6,93,MOD,op-2
5_9_16,N2,,JUb39,,oct_1:50,D,13,3,1,2,2,2,183,MOD,ju-2
5_9_16,N2,,JUb39,,oct_1:50,E,4,1,3,2,2,4,135,MOD,ju-3
5_10_16,N2,,OP50,,oct,,3,1,2,1,0,4,80,PHC,
5_10_16,N2,,OP50,,oct,,0,0,2,1,0,7,137,PHC,
5_10_16,N2,,OP50,,oct,,0,0,10,2,3,82,134,PHC,
5_10_16,N2,,JUb39,,oct,,6,0,3,2,0,4,67,PHC,
5_10_16,N2,,JUb39,,oct,,1,0,0,3,4,24,75,PHC,
5_10_16,N2,,JUb39,,oct,,2,1,3,3,1,0,80,PHC,
5_10_16,N2,,JUb39,,oct,,8,1,1,1,1,19,77,PHC,
5_10_16,Tph-1,,OP50,,oct,,3,1,0,2,0,3,71,PHC,
5_10_16,Tph-1,,OP50,,oct,,0,0,1,1,1,2,86,PHC,
5_10_16,Tph-1,,OP50,,oct,,1,0,2,1,0,3,85,PHC,
5_10_16,Tph-1,,JUb39,,oct,,5,3,3,1,0,8,159,PHC,
5_10_16,Tph-1,,JUb39,,oct,,3,0,1,0,0,3,71,PHC,
5_10_16,Tph-1,,JUb39,,oct,,5,0,3,0,0,7,173,PHC,
5_10_16,Tph-1,,JUb39,,oct,,22,4,1,2,1,3,190,PHC,
5_10_16,N2,,OP+JU,,oct,,9,1,1,2,3,12,280,PHC,
5_10_16,N2,,OP+JU,,oct,,8,0,2,1,0,19,123,PHC,
5_10_16,N2,,OP+JU,,oct,,0,0,1,1,0,8,43,PHC,
5_10_16,N2,,OP+JU,,oct,,0,0,1,2,0,24,79,PHC,
5_24_16,N2,,OP_5xOPp_NGM,,oct,A1,1,3,0,0,2,6,73,PHC,2hr
5_24_16,N2,,OP_5xOPp_NGM,,oct,A2,2,2,0,0,0,5,118,PHC,2hr
5_24_16,N2,,OP_NGM,,oct,B1,1,23,3,0,1,9,82,PHC,2hr
5_24_16,N2,,OP_NGM,,oct,B2,2,5,2,0,0,5,43,PHC,2hr
5_24_16,N2,,OP_5xOPp_NGM,,nona,A1,0,0,2,3,3,25,86,PHC,2hr
5_24_16,N2,,OP_5xOPp_NGM,,nona,A2,0,0,1,2,1,7,100,PHC,2hr
5_24_16,N2,,OP_NGM,,nona,B1,0,0,1,0,1,22,58,PHC,2hr
5_24_16,N2,,OP_NGM,,nona,B2,0,0,1,2,0,11,44,PHC,2hr
5_24_16,N2,,OP_5xOPp_JUCM,,oct,C5,3,11,2,2,3,14,92,PHC,2hr
5_24_16,N2,,OP_5xOPp_JUCM,,oct,C5,2,2,2,2,0,10,73,PHC,2hr
5_24_16,N2,,OP_5xOPp_JUCM,,oct,C6,3,3,0,0,1,12,63,PHC,2hr
5_24_16,N2,,OP_5xOPp_JUCM,,oct,C6,3,1,1,0,2,17,84,PHC,2hr
5_24_16,N2,,OP_5xOPp_OPCM,,oct,D5,0,8,1,0,1,16,91,PHC,2hr
